type,step,total_transactions,fraud_count,total_amount,avg_amount,max_amount,fraud_rate_pct
CASH_IN,1,527,0,85500789.61,162240.58749525616,1030100.15,0.0
CASH_IN,2,203,0,32496559.82,160081.5754679803,696979.11,0.0
CASH_IN,3,124,0,21176788.56,170780.5529032258,635370.28,0.0
CASH_IN,4,136,0,23541190.43,173096.98845588235,633287.14,0.0
CASH_IN,5,131,0,25071346.06,191384.32106870227,861582.21,0.0
CASH_IN,6,300,0,52998161.49,176660.53830000001,608716.97,0.0
CASH_IN,7,1002,0,166049774.4,165718.33772455092,908091.47,0.0
CASH_IN,8,3953,0,651968262.85,164929.99313179863,1289407.91,0.0
CASH_IN,9,8087,0,1388800804.8,171732.50955855075,1080135.03,0.0
CASH_IN,10,7518,0,1398498808.8,186020.05969672784,1208997.31,0.0
CASH_IN,11,7841,0,1435300434.18,183050.6866700676,965395.09,0.0
CASH_IN,12,7684,0,1480154005.31,192628.05899401353,1055638.69,0.0
CASH_IN,13,8131,0,1543245212.55,189797.71400196778,1193847.66,0.0
CASH_IN,14,9140,0,1624930275.88,177782.3058949672,968678.95,0.0
CASH_IN,15,9939,0,1714817153.79,172534.17383942046,852958.98,0.0
CASH_IN,16,9928,0,1746535418.58,175920.16706083802,1116917.53,0.0
CASH_IN,17,9897,0,1678635811.53,169610.57002424978,1223128.16,0.0
CASH_IN,18,11197,0,1809671395.07,161621.0944958471,978732.99,0.0
CASH_IN,19,11875,0,1868721005.97,157365.97945010525,1092606.96,0.0
CASH_IN,20,8961,0,1342679682.33,149835.92035821895,1240885.3,0.0
CASH_IN,21,3772,0,548880768.68,145514.51979851536,868891.77,0.0
CASH_IN,22,2345,0,370032352.45,157796.31234541576,737614.1,0.0
CASH_IN,23,840,0,141310397.92,168226.66419047618,713313.44,0.0
CASH_IN,24,495,0,87103032.04,175965.72129292932,819232.21,0.0
CASH_IN,25,276,0,49942785.83,180952.12257246376,1037838.62,0.0
CASH_IN,26,129,0,21161287.26,164040.9865116279,532076.91,0.0
CASH_IN,33,5642,0,977936068.26,173331.4548493442,751365.74,0.0
CASH_IN,34,7084,0,1208102545.23,170539.60265810278,897759.24,0.0
CASH_IN,35,6620,0,1154726075.8,174429.92081570995,941178.16,0.0
CASH_IN,36,8579,0,1530614081.45,178414.04376384194,860764.67,0.0
CASH_IN,37,7450,0,1340350661.19,179912.84042818792,907997.31,0.0
CASH_IN,38,7015,0,1247569666.72,177843.14564789736,1781905.26,0.0
CASH_IN,39,5506,0,940584138.94,170828.93914638576,1158388.74,0.0
CASH_IN,40,7542,0,1326524315.78,175884.95303367806,929045.71,0.0
CASH_IN,41,8236,0,1435192196.28,174258.4016852841,1609288.13,0.0
CASH_IN,42,9488,0,1576448970.19,166151.8729120995,1242820.55,0.0
CASH_IN,43,9852,0,1536568940.93,155965.17873832726,1107337.79,0.0
CASH_IN,44,8069,0,1223680813.77,151652.10233857975,848341.54,0.0
CASH_IN,45,3735,0,548522181.41,146860.0217965194,1208150.77,0.0
CASH_IN,46,2365,0,363260892.36,153598.68598731502,802828.23,0.0
CASH_IN,47,1429,0,222013693.66,155362.9766689993,693337.23,0.0
CASH_IN,48,690,0,112630220.3,163232.20333333334,814654.18,0.0
CASH_IN,49,137,0,23705176.78,173030.48744525548,681184.29,0.0
CASH_IN,93,914,0,139277650.85,152382.55016411378,808040.85,0.0
CASH_IN,94,2106,0,334714353.4,158933.69107312438,964590.83,0.0
CASH_IN,95,962,0,165058098.42,171578.06488565487,691093.55,0.0
CASH_IN,96,866,0,145244159.35,167718.42881062356,654002.65,0.0
CASH_IN,97,194,0,34583837.160000004,178267.20185567014,615712.08,0.0
CASH_IN,119,667,0,110812002.31,166134.9359970015,777932.33,0.0
CASH_IN,120,589,0,96782932.74,164317.3730730051,714331.92,0.0
CASH_IN,121,188,0,33304211.01,177150.0585638298,688385.45,0.0
CASH_IN,122,145,0,21552634.79,148638.86062068964,509445.03,0.0
CASH_IN,129,5276,0,922288984.66,174808.37465125095,1367732.44,0.0
CASH_IN,130,7678,0,1403434634.12,182786.48529825473,1165662.85,0.0
CASH_IN,131,8692,0,1622714798.36,186690.6118683847,1247922.16,0.0
CASH_IN,132,8183,0,1537005109.46,187829.04918245142,1290876.4,0.0
CASH_IN,133,7971,0,1487657046.74,186633.67792497805,1226164.25,0.0
CASH_IN,134,7627,0,1378115225.5,180689.02917267603,901749.89,0.0
CASH_IN,135,6265,0,1177825989.63,188000.95604628892,862698.69,0.0
CASH_IN,136,7100,0,1319420814.44,185833.91752676058,1048813.48,0.0
CASH_IN,137,7132,0,1236297246.08,173345.09900168254,800852.24,0.0
CASH_IN,138,7391,0,1158915051.55,156800.84583276958,953453.85,0.0
CASH_IN,139,10470,0,1675979956.03,160074.49436771727,1394689.81,0.0
